email,gender,city,state,last,phone,registered,username,dob,current_ts
dylan.li@example.com,male,tauranga,hawke's bay,li,(814)-356-0885,1157105974,heavyfish394,755076857,2023-12-10T04:17:40.897+05:30
maddison.anderson@example.com,female,palmerston north,manawatu-wanganui,anderson,(902)-709-3525,1325677646,goldenfrog392,927689190,2023-12-10T04:17:40.897+05:30
elizabeth.patel@example.com,female,upper hutt,marlborough,patel,(861)-063-9522,1198950814,bigpanda888,1362160693,2023-12-10T04:17:40.897+05:30
harper.thompson@example.com,female,christchurch,waikato,thompson,(525)-027-9721,1094035788,smalllion866,758734,2023-12-10T04:17:40.897+05:30
michael.chen@example.com,male,christchurch,otago,chen,(524)-953-8376,943280364,greensnake632,1246461035,2023-12-10T04:17:40.897+05:30
felix.patel@example.com,male,rotorua,west coast,patel,(172)-552-5282,922095739,silverswan107,1424803311,2023-12-10T04:17:40.897+05:30
holly.wang@example.com,female,taupo,otago,wang,(294)-206-4611,960705456,brownladybug572,379087248,2023-12-10T04:17:40.897+05:30
zachary.brown@example.com,male,christchurch,tasman,brown,(183)-456-6135,1293795026,silverbutterfly204,482780192,2023-12-10T04:17:40.897+05:30
max.roberts@example.com,male,dunedin,wellington,roberts,(056)-917-9297,1381678715,greenrabbit413,29117981,2023-12-10T04:17:40.897+05:30
hayley.kumar@example.com,female,lower hutt,bay of plenty,kumar,(456)-192-1748,1367123639,heavybutterfly755,654124942,2023-12-10T04:17:40.897+05:30
jacob.robinson@example.com,male,napier,hawke's bay,robinson,(142)-077-5602,1340906914,beautifulfrog762,636289546,2023-12-10T04:17:40.897+05:30
james.martin@example.com,male,whangarei,nelson,martin,(627)-444-2728,1337942806,bigpanda917,1332121734,2023-12-10T04:17:40.897+05:30
samuel.robinson@example.com,male,whangarei,west coast,robinson,(010)-255-7470,1278031573,bigsnake895,709041987,2023-12-10T04:17:40.897+05:30
naomi.patel@example.com,female,whanganui,tasman,patel,(244)-233-9338,1106527656,silverfrog732,1137863729,2023-12-10T04:17:40.897+05:30
natalie.roberts@example.com,female,taupo,auckland,roberts,(617)-390-8218,1251977731,tinylion432,973686539,2023-12-10T04:17:40.897+05:30
imogen.jones@example.com,female,wellington,canterbury,jones,(621)-919-3934,1180794031,tinydog521,1369829123,2023-12-10T04:17:40.897+05:30
peyton.hughes@example.com,female,napier,bay of plenty,hughes,(627)-088-7813,985435647,bigswan158,139505367,2023-12-10T04:17:40.897+05:30
levi.king@example.com,male,dunedin,marlborough,king,(182)-100-4772,1328833035,orangepanda535,957276430,2023-12-10T04:17:40.897+05:30
beau.wright@example.com,male,new plymouth,waikato,wright,(459)-214-7110,1279479838,orangefish347,71203377,2023-12-10T04:17:40.897+05:30
thea.clarke@example.com,female,rotorua,manawatu-wanganui,clarke,(252)-264-5902,1296123661,organiccat565,796715897,2023-12-10T04:17:40.897+05:30
mia.johnson@example.com,female,christchurch,wellington,johnson,(467)-510-9986,1033586714,bigostrich854,1181893732,2023-12-10T04:17:40.897+05:30
phoebe.robinson@example.com,female,tauranga,gisborne,robinson,(939)-819-4440,1166072590,orangesnake274,1323373731,2023-12-10T04:17:40.897+05:30
florence.cooper@example.com,female,taupo,wellington,cooper,(116)-335-7505,1427402004,bluegoose555,525772049,2023-12-10T04:17:40.897+05:30
leo.morris@example.com,male,dunedin,waikato,morris,(056)-872-7061,1271211833,ticklishpeacock372,708730286,2023-12-10T04:17:40.897+05:30
matthew.white@example.com,male,masterton,northland,white,(919)-345-3584,1287429604,yellowtiger282,668833478,2023-12-10T04:17:40.897+05:30
kate.davies@example.com,female,taupo,taranaki,davies,(804)-989-4690,1359643810,heavymouse948,73922975,2023-12-10T04:17:40.897+05:30
paige.zhang@example.com,female,tauranga,taranaki,zhang,(140)-279-2280,947535297,yellowpeacock428,1187023610,2023-12-10T04:17:40.897+05:30
hayley.hall@example.com,female,lower hutt,canterbury,hall,(109)-427-9867,1371279272,goldenpanda976,597161364,2023-12-10T04:17:40.897+05:30
cooper.lee@example.com,male,dunedin,marlborough,lee,(885)-286-7560,1091391087,crazyfish297,610273459,2023-12-10T04:17:40.897+05:30
isabelle.patel@example.com,female,whanganui,tasman,patel,(442)-715-3267,1422631753,organicleopard361,1225449100,2023-12-10T04:17:40.897+05:30
millie.morris@example.com,female,dunedin,northland,morris,(586)-510-0457,1393806375,lazymeercat489,1126290658,2023-12-10T04:17:40.897+05:30
keira.moore@example.com,female,lower hutt,wellington,moore,(281)-607-3285,1230077584,silverwolf648,205881429,2023-12-10T04:17:40.897+05:30
aria.chen@example.com,female,porirua,gisborne,chen,(040)-066-7692,1150740768,crazykoala677,1039712873,2023-12-10T04:17:40.897+05:30
sophia.morris@example.com,female,invercargill,gisborne,morris,(614)-525-2879,1376620922,yellowlion773,1327975184,2023-12-10T04:17:40.897+05:30
hayley.taylor@example.com,female,gisborne,tasman,taylor,(485)-591-1305,1129530766,lazyelephant248,516023371,2023-12-10T04:17:40.897+05:30
michael.king@example.com,male,lower hutt,otago,king,(558)-039-7106,955609228,tinybutterfly788,1390555749,2023-12-10T04:17:40.897+05:30
